owner,address,zip,source,doc_type,filing_date,case_number,adjudged_value,minimum_bid,tax_years,sale_status,score,signals
,"Adjudged Value: $102,401.00 Minimum Bid: $41,205.46",,Harris Co. Tax Sale,TAX_DELINQUENT,,202132139,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202132139,"$102,401.00","$41,205.46",2019 - 2025,,30,tax_delinquency
,"Adjudged Value: $132,358.00 Minimum Bid: $27,818.75",,Harris Co. Tax Sale,TAX_DELINQUENT,,202143432,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202143432,"$132,358.00","$27,818.75",2019 - 2023,,30,tax_delinquency
,"Adjudged Value: $697,361.00 Minimum Bid: $78,464.07",,Harris Co. Tax Sale,TAX_DELINQUENT,,202216565,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202216565,"$697,361.00","$78,464.07",2020 - 2024,,30,tax_delinquency
,"Adjudged Value: $66,300.00 Minimum Bid: $44,107.40",,Harris Co. Tax Sale,TAX_DELINQUENT,,202238845,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202238845,"$66,300.00","$44,107.40",2007 - 2024,,30,tax_delinquency
,"Adjudged Value: $99,977.00 Minimum Bid: $24,828.85",,Harris Co. Tax Sale,TAX_DELINQUENT,,202317256,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202317256,"$99,977.00","$24,828.85",2021 - 2025,,30,tax_delinquency
,"Adjudged Value: $285,171.00 Minimum Bid: $60,237.17",,Harris Co. Tax Sale,TAX_DELINQUENT,,202330761,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202330761,"$285,171.00","$60,237.17",2017 - 2024,,30,tax_delinquency
,"Adjudged Value: $60,000.00 Minimum Bid: $23,462.00",,Harris Co. Tax Sale,TAX_DELINQUENT,,202380293,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202380293,"$60,000.00","$23,462.00",2003 - 2024,,30,tax_delinquency
